unix,low,high,open,close,volume,date
1554422400,84.13,90.4,84.93,88.88,255188.5421,4/5/2019
1554336000,80.37,90.84,85.55,84.95,449811.4924,4/4/2019
1554249600,73.03,99.89,77.57,85.6,1466987.424,4/3/2019
1554163200,60.17,79.38,60.36,77.5,750948.3036,4/2/2019
1554076800,59.9,60.83,60.33,60.35,71559.62731,4/1/2019
1553990400,59.76,60.48,60.25,60.35,47463.55526,3/31/2019
1553904000,59.71,61.37,61.27,60.25,100740.8113,3/30/2019
1553817600,59.81,61.38,60.27,61.23,89573.12195,3/29/2019
1553731200,60.03,61.26,61.26,60.26,59812.82366,3/28/2019
1553644800,58.3,61.5,58.42,61.26,168380.8177,3/27/2019
1553558400,57.06,58.89,58.63,58.48,86674.30734,3/26/2019
1553472000,57.82,60.25,59.46,58.66,124641.5541,3/25/2019
1553385600,58.75,60.44,60.44,59.46,85673.82751,3/24/2019
1553299200,58.94,61,59.13,60.43,96058.86404,3/23/2019
1553212800,57.85,59.43,58.42,59.12,96577.73551,3/22/2019
1553126400,57.2,60.4,60.21,58.41,151461.7632,3/21/2019
1553040000,56.8,60.91,59.27,60.21,155848.4767,3/20/2019
1552953600,58.07,59.67,59,59.29,120377.2259,3/19/2019
1552867200,57.8,62.22,60.3,58.99,177133.8184,3/18/2019
1552780800,59.38,61.02,61.01,60.29,90473.64962,3/17/2019
1552694400,58.12,61.58,58.13,61.01,254486.0936,3/16/2019
1552608000,55.6,58.58,55.61,58.13,163159.8303,3/15/2019
1552521600,53.11,57.74,55.05,55.61,155765.933,3/14/2019
1552435200,54.12,56.46,56.2,55.06,112937.4395,3/13/2019
1552348800,52.15,56.7,54.66,56.2,229133.4985,3/12/2019
1552262400,53.75,56.95,56.3,54.65,168897.9126,3/11/2019
1552176000,55.77,57.45,57.44,56.3,130072.6127,3/10/2019
1552089600,55.12,59,55.31,57.43,243584.5912,3/9/2019
1552003200,54.02,57.38,56.51,55.33,226615.7752,3/8/2019
1551916800,53.63,58.87,55.17,56.51,426868.9043,3/7/2019
1551830400,51.22,56.58,52.31,55.17,317183.3374,3/6/2019
1551744000,45.33,53.98,45.65,52.3,407224.504,3/5/2019
